               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.031909,           0.0093269,           0.0062967,             0.99805,                   1,               0.995,             0.63071,            0.029244,           0.0048473,           0.0033865,           0.0084754,           0.0084754,           0.0084754
                  79,            0.032372,           0.0093397,           0.0050194,             0.97781,                   1,             0.98608,             0.65646,            0.025016,           0.0046985,            0.003164,           0.0084556,           0.0084556,           0.0084556
                  80,              0.0323,            0.009578,           0.0057194,              0.9982,                   1,               0.995,             0.64812,            0.025896,            0.004723,           0.0031336,           0.0084358,           0.0084358,           0.0084358
                  81,            0.033951,            0.009375,           0.0053101,             0.99314,             0.99521,               0.995,             0.66979,            0.023008,           0.0046884,           0.0035328,            0.008416,            0.008416,            0.008416
                  82,            0.032314,           0.0096616,           0.0051076,             0.95571,             0.99231,             0.98768,             0.63496,            0.026873,           0.0047904,           0.0031121,           0.0083962,           0.0083962,           0.0083962
                  83,            0.033686,           0.0094598,           0.0057181,              0.9975,                   1,               0.995,             0.67372,            0.029654,           0.0047197,           0.0031307,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03166,           0.0091054,            0.006574,             0.96736,             0.97749,             0.98939,             0.66952,            0.025636,           0.0047554,           0.0036946,           0.0083566,           0.0083566,           0.0083566
                  85,            0.031986,           0.0084886,           0.0052727,             0.97438,             0.97712,             0.98472,               0.711,            0.024688,            0.004599,           0.0048099,           0.0083368,           0.0083368,           0.0083368
                  86,            0.030138,           0.0084862,           0.0054222,             0.82473,             0.97065,             0.97404,             0.59418,            0.025522,           0.0046433,           0.0041414,            0.008317,            0.008317,            0.008317
                  87,            0.030406,           0.0090369,           0.0077215,             0.98681,             0.99892,               0.995,             0.72448,            0.022956,           0.0045391,           0.0036373,           0.0082972,           0.0082972,           0.0082972
                  88,            0.030371,           0.0087142,           0.0050357,             0.74389,                   1,             0.91484,             0.58288,            0.029022,           0.0046529,           0.0031567,           0.0082774,           0.0082774,           0.0082774
